code,name,description,category,url
1,Agrovoc,"A controlled vocabulary covering all areas of interest of the Food and Agriculture Organization (FAO) of the United Nations, including food, nutrition, agriculture, fisheries, forestry, environment etc.",,https://agrovoc.fao.org/browse/agrovoc/en/
2,UN Sustainable Development Goals (SDG),A value from the top-level list of UN sustainable development goals (SDGs) (e.g. ‘1’),,http://reference.iatistandard.org/codelists/UNSDG-Goals/
3,UN Sustainable Development Goals (SDG) Targets,A value from the second-level list of UN sustainable development goals (SDGs) (e.g. ‘1.1’),,http://reference.iatistandard.org/codelists/UNSDG-Targets/
99,Reporting Organisation,,,
