code,name,description,category,url
1,Les fonds sont déboursés par l'entremise du ministère des Finances ou du Trésor central,Les fonds sont déboursés par l'entremise du ministère des Finances ou du Trésor central,,
2,Les fonds sont versés directement à l'organisation responsable de la mise en œuvre et gérés au moyen d'un compte bancaire distinct,Les fonds sont versés directement à l'organisation responsable de la mise en œuvre et gérés au moyen d'un compte bancaire distinct,,
3,"Aide en nature : Les donateurs utilisent des organisations tierces, p. ex. des ONG ou des sociétés de gestion","Aide en nature : Les donateurs utilisent des organisations tierces, p. ex. des ONG ou des sociétés de gestion",,
4,Aide en nature : Les donateurs gèrent eux-mêmes les fonds,Aide en nature : Les donateurs gèrent eux-mêmes les fonds,,
