code,name,description,category,url,status
LEPC,,,S,,
HSPL,,,S,,
LEV,,,T,,
LTHSE,,,S,,
MFGLM,,,S,,
GOVL,,,S,,
LCTY,,,L,,
LOCK,,,S,,
CMPL,,,S,,
STMSB,,,H,,
MVA,,,L,,
ISLM,,,T,,
MGV,,,H,,
MAR,,,S,,
CHNM,,,H,,
SCHN,,,S,,
MKT,,,S,,
MRSH,,,H,,
MDW,,,V,,
NKM,,,T,,
CTRM,,,S,,
MESA,,,T,,
STNM,,,S,,
MILB,,,L,,
INSM,,,S,,
SCHM,,,S,,
ML,,,S,,
MN,,,S,,
MNA,,,L,,
CMPMN,,,S,,
MSSN,,,S,,
MOLE,,,S,,
MSTY,,,S,,
MNMT,,,S,,
MOOR,,,H,,
MRN,,,T,,
MSQE,,,S,,
MND,,,T,,
MT,,,T,,
MTS,,,T,,
FLTM,,,H,,
MFGM,,,S,,
MUS,,,S,,
NRWS,,,H,,
TNLN,,,R,,
RESN,,,L,,
NVB,,,L,,
CNLN,,,H,,
CHNN,,,H,,
MNNI,,,S,,
NOV,,,S,,
PSN,,,S,,
NTK,,,T,,
NTKS,,,T,,
NSY,,,S,,
OAS,,,L,,
OBPT,,,S,,
OBS,,,S,,
OCN,,,H,,
BLDO,,,S,,
CMPO,,,S,,
ESTO,,,S,,
OILP,,,R,,
OILJ,,,S,,
TRMO,,,S,,
PMPO,,,S,,
OILR,,,S,,
OILW,,,S,,
OILF,,,L,,
GRVO,,,V,,
MLO,,,S,,
OCH,,,V,,
MLM,,,S,,
OVF,,,H,,
LKO,,,H,,
PGDA,,,S,,
PAL,,,S,,
GRVP,,,V,,
RESP,,,L,,
PAN,,,T,,
PANS,,,T,,
PRSH,,,A,,
PRK,,,L,,
PRKGT,,,S,,
PRKHQ,,,S,,
GARG,,,S,,
PKLT,,,S,,
PASS,,,T,,
PSTP,,,S,,
PK,,,T,,
PKS,,,T,,
PEAT,,,L,,
PEN,,,T,,
BSNP,,,L,,
MFGPH,,,S,,
PIER,,,S,,
GRVPN,,,V,,
MNPL,,,S,,
PLN,,,T,,
PLAT,,,T,,
PT,,,T,,
PTS,,,T,,
PLDR,,,T,,
PP,,,S,,
PCL,,,A,,
PND,,,H,,
PNDS,,,H,,
POOL,,,H,,
PPLL,,,P,,
PPL,,,P,,
PPLS,,,P,,
PRT,,,L,,
PTGE,,,R,,
PO,,,S,,
PS,,,S,,
PRN,,,S,,
PRMN,,,R,,
PROM,,,T,,
PYR,,,S,,
PYRS,,,S,,
MNQR,,,S,,
QUAY,,,S,,
QCKS,,,L,,
RECR,,,S,,
OBSR,,,S,,
STNR,,,S,,
RR,,,R,,
RJCT,,,R,,
RSD,,,S,,
RSGNL,,,S,,
RSTN,,,S,,
RSTP,,,S,,
TNLRR,,,R,,
RYD,,,R,,
RNCH,,,S,,
RPDS,,,H,,
RVN,,,H,,
RCH,,,H,,
RF,,,H,,
PRNJ,,,S,,
CMPRF,,,S,,
RGN,,,L,,
CTRR,,,S,,
PPLR,,,P,,
RLG,,,S,,
ITTR,,,S,,
RESV,,,L,,
RES,,,L,,
RSV,,,H,,
RSRT,,,S,,
RHSE,,,S,,
RLGR,,,S,,
RDGE,,,T,,
RD,,,R,,
RDB,,,R,,
RDCUT,,,R,,
RDJCT,,,R,,
TNLRD,,,R,,
RDST,,,H,,
RK,,,T,,
HMDA,,,T,,
RKFL,,,T,,
RKS,,,T,,
RKRY,,,S,,
ESTR,,,S,,
RUIN,,,S,,
BDGQ,,,S,,
DAMQ,,,S,,
SBKH,,,H,,
SDL,,,T,,
SALT,,,L,,
MFGN,,,H,,
LKN,,,H,,
LKSN,,,H,,
MRSHN,,,H,,
MNN,,,S,,
PNDN,,,H,,
PNDSN,,,H,,
SNTR,,,S,,
SAND,,,T,,
ERG,,,T,,
STNS,,,S,,
MLSW,,,S,,
SCH,,,S,,
ADMS,,,A,,
STNB,,,S,,
SCRB,,,V,,
SEA,,,H,,
SCNU,,,U,,
SCSU,,,U,,
SMU,,,U,,
SMSU,,,U,,
AIRS,,,H,,
PPLA,,,P,,
PPLA4,,,P,,
PPLA2,,,P,,
PPLA3,,,P,,
ADM2,,,A,,
BNKX,,,H,,
CNLX,,,H,,
ESTX,,,S,,
HBRX,,,H,,
PCLIX,,,A,,
STMIX,,,H,,
ISLX,,,T,,
LGNX,,,H,,
LKX,,,H,,
PENX,,,T,,
PLNX,,,T,,
PLATX,,,T,,
PPLX,,,P,,
RFX,,,H,,
STMX,,,H,,
VALX,,,T,,
WADX,,,H,,
FLLSX,,,H,,
PCLS,,,A,,
SWT,,,S,,
SHPF,,,S,,
SHOL,,,H,,
SHOPC,,,S,,
SHOR,,,T,,
SHRN,,,S,,
SILL,,,H,,
SINK,,,T,,
ESTSL,,,S,,
SLID,,,T,,
SLP,,,T,,
SLCE,,,S,,
SNOW,,,L,,
SD,,,H,,
SPA,,,S,,
CTRS,,,S,,
SPLY,,,S,,
SPIT,,,T,,
SPNG,,,H,,
SPUR,,,T,,
SQR,,,S,,
STBL,,,S,,
STDM,,,S,,
STPS,,,S,,
STKR,,,R,,
REG,,,T,,
RET,,,S,,
SHSE,,,S,,
STRT,,,H,,
STM,,,H,,
BNKR,,,H,,
STMB,,,H,,
STMGS,,,S,,
STMM,,,H,,
STMS,,,H,,
ST,,,R,,
DAMSB,,,S,,
SUBW,,,S,,
SUBS,,,S,,
MLSG,,,S,,
ESTSG,,,S,,
MFGSG,,,S,,
SPNS,,,H,,
SWMP,,,H,,
SYG,,,S,,
TMTU,,,U,,
TMSU,,,U,,
TAL,,,T,,
OILT,,,S,,
ESTT,,,S,,
SCHT,,,S,,
TMPL,,,S,,
AIRT,,,S,,
TRR,,,T,,
TERR,,,A,,
ADM3,,,A,,
CRKT,,,H,,
FLTT,,,H,,
MNSN,,,S,,
TOLL,,,S,,
TMB,,,S,,
TOWR,,,S,,
RDCR,,,S,,
TRL,,,R,,
TRANT,,,S,,
TREE,,,V,,
TRIG,,,S,,
TRB,,,L,,
TUND,,,V,,
TNL,,,R,,
TNLS,,,R,,
CNLSB,,,H,,
LKSB,,,H,,
APNU,,,U,,
ARCU,,,U,,
ARRU,,,U,,
BNKU,,,U,,
BKSU,,,U,,
BSNU,,,U,,
BNCU,,,U,,
