code,name,description,category,url,public-database
GE-NAPR,,,GE,https://enreg.reestri.gov.ge/main.php?m=new_index,False
GG-RCE,,,GG,http://www.guernseyregistry.com/,False
GH-DSW,,,GH,http://mogcsp.gov.gh/department-of-social-developments/,False
HK-CR,,,HK,https://www.icris.cr.gov.hk/csci/,True
HR-MBS,,,HR,https://sudreg.pravosudje.hr/registar,True
HR-OIB,,,HR,https://sudreg.pravosudje.hr/registar/f?p=150:1,True
HU-AFA,,,HU,http://www.e-cegjegyzek.hu/?cegkereses,True
ID-KDN,,,ID,http://www.kemendagri.go.id/,False
ID-KHH,,,ID,http://www.kemenkumham.go.id/,False
ID-KLN,,,ID,http://www.kemlu.go.id/,False
ID-PRO,,,ID,http://www.satulayanan.net/layanan/pendaftaran-lsm-atau-ormas/perizinan-lsm-atau-ormas-baru,False
ID-SMR,,,ID,http://www.smeru.or.id/en,False
IE-CHY,,,IE,https://www.charitiesregulatoryauthority.ie/,False
IE-CRO,,,IE,http://www.cro.ie/,False
IL-ROC,,,IL,http://www.justice.gov.il/Units/RasutHataagidim/units/RashamHachvarot/Pages/default.aspx,True
IM-CR,,,IM,https://www.gov.im/categories/business-and-industries/companies-registry,False
IM-GR,,,IM,http://www.gov.im/registries/courts/charities/,True
IN-MCA,,,IN,http://www.mca.gov.in/,False
IN-MHA,,,IN,https://fcraonline.nic.in/,False
IT-CF,,,IT,http://www.registroimprese.it/,True
IT-RI,,,IT,http://www.registroimprese.it/,True
JE-FSC,,,JE,http://www.jerseyfsc.org/index.asp,False
JE-OAC,,,JE,http://www.jerseyoverseasaid.org.je/,False
JO-CCD,,,JO,http://www.ccd.gov.jo/,True
JO-MSD,,,JO,http://www.societies.gov.jo/,True
JP-JCN,,,JP,http://www.houjin-bangou.nta.go.jp/,True
KE-NCB,,,KE,http://www.ngobureau.or.ke/,False
KE-RCO,,,KE,http://www.attorney-general.go.ke/,False
KE-RSO,,,KE,http://www.attorney-general.go.ke/,False
KG-ID,,,KG,http://register.minjust.gov.kg/register/SearchAction.seam?logic=and&cid=204,True
KG-INN,,,KG,http://register.minjust.gov.kg/register/SearchAction.seam?logic=and&cid=205,True
KZ-BIN,,,KZ,http://kgd.gov.kz/en/services/taxpayer_search/legal_entity,True
LB-CR,,,LB,http://cr.justice.gov.lb/desc/desc.aspx,True
LB-MOI,,,LB,http://www.interior.gov.lb/,False
LS-LCN,,,LS,http://www.lcn.org.ls/,False
LT-PVM,,,LT,http://www.registrucentras.lt/jar/index_en.php,True
LT-RC,,,LT,http://www.registrucentras.lt/jar/index_en.php,True
LV-RE,,,LV,http://www.ur.gov.lv/,True
MD-IDNO,,,MD,http://www.idno.md/,True
ML-CCIM,,,ML,http://www.cci.ml/,False
ML-NIF,,,ML,http://demarchesadministratives.gouv.ml/demarches/afficher/Numero-d-Identification-Fiscale-NIF,False
MM-MHA,,,MM,,False
MU-CR,,,MU,http://companies.govmu.org/,True
MW-CNM,,,MW,http://www.congoma.mw,False
MW-MRA,,,MW,http://www.mra.mw/,False
MW-NBM,,,MW,http://ngoboardmalawi.mw/directory.php,False
MW-RG,,,MW,https://www.registrargeneral.gov.mw/index.html,False
MX-CPA,,,MX,http://www.transparenciapresupuestaria.gob.mx/work/models/PTP/DatosAbiertos/Metadatos/catalogos_presupuestarios.xlsx,True
MX-RFC,,,MX,https://portalsat.plataforma.sat.gob.mx/ConsultaRFC/,False
MY-SSM,,,MY,http://www.ssm.com.my/ms,True
