code,name,description,category,url
1,Coopération technique pure,Coopération technique pure (col 24 du gabarit CRS++),,
2,Approche-programme,Approche-programme (col 25 du gabarit CRS++),,
3,Projet d'investissement,Projet d'investissement (col 26 du gabarit CRS++),,
4,Financement associé,Financement associé (col 27 du gabarit CRS++),,
