code,name,description,category,url
1,IATI,The budget identifier reported uses IATI budget identifier categories,,
2,Country Chart of Accounts,The budget identifier reported corresponds to the recipient country chart of accounts,,
3,Other Country System,The budget identifier reported corresponds to a recipient country system other than the chart of accounts,,
4,Reporting Organisation,The budget identifier reported corresponds to categories that are specific to the reporting organisation,,
5,Other,"The budget identifier reported uses a different vocabulary, not specified in the codelist",,
